id,username,date,choix,followers
<<<<<<< HEAD
117793439,valentin_l,1369599267,neutre,1145995544
85575657,Huntynette,1369599265,pour,535518932;114675553;478657425;380841357;299018689;46386171
215058742,plasticarrow,1369599264,pour,937738092
12244992,alexmouchotte,1369599262,pour,524240651;287333441;96003627;68654204;41189207;46386171;31077839
366570919,brunosarrodet,1369599260,pour,275179228;1378217570;1120655828;1292276934;915287179;1145995544;118122782;120007623;28666886;278063562
410093641,thomas087,1369599258,pour,1292276934;299760936
421178097,EqualityFairy,1369599255,pour,197359781;1145995544;269399115
493016406,chrisquette,1369599251,contre,130626642;554485198;841455985;182906244;1357804986;241659010;444039081;124232644;758032711;1378388058;988372536;63478646;492979054;331676157;459952550;494037039;1130159095;532335718;555554262;493435606;106686430;915287179;33908285;582116966;492969763;547420730;526834453;197063362;312888560;524312432;592823197;788996941;746000443;51130368;610906968;463786592;581070678;137370532;302906057;476098647;114775729;514288085;455692100;508752598;493031776;391539340;83206603
19064222,iCanDoItgirl,1369599251,pour,513715474;30709938;99245311;380841357;434837450;11632152
114073151,AFredo31000,1369599250,pour,50797195;1389542826;1120655828;235174844;333399010;284085035
567891799,piotrmelala,1369599246,contre,343910079;1068828068;477778623;36191393;377915090;758032711;568534007;129948456;288991803
144247696,bebabessay,1369599244,pour,1120655828;30709938;361752469;1164176504;630165516;946392384;376786245;91534334;49728863;595866006;562422413;299018689;114082221;458806722;333399010
361410207,loliv2809,1369599243,pour,30709938;482001124;275179228;1120655828;50797195;365438321;547957320;40639652;114082221;1145995544;946392384;308721132;84204116
44578635,thierry_c,1369599242,pour,1346104482;46386171;197535822;1145995544;609416896;378070152;40301992;384576997;303864268;191008573;278063562;138100844;333399010;110186782;46446811;56396019;17688298;125207364;91534334;91863617;17871187;5661312
937738092,pietro_berti,1369599239,pour,28775453;1027248156;215058742;301853897;554485198;971862548
7845032,__cyp,1369599239,pour,197359781
610906968,JeandeRobien,1369599239,contre,444039081;241659010;999587480;120609202;1378388058;561253885;1357804986;971862548;130626642;1106725483;17400044;499297785;492969763;582116966;581070678;555554262;340556130;956038812;361995292;494037039;492979054;252552050;592823197;637259252;524312432;391539340;568534007;494772708;1068828068;915287179;988372536;547420730;312888560;493016406;137370532;628126313;493031776;455692100;554485198;90894097;494120149;476098647;192704753;746000443;508752598;514288085;302906057;129948456;485917030;197063362;51130368;114775729;36191393
297874133,Binouite,1369599235,pour,299760936;299018689;53336284;401290992;1292276934;1378217570;1064244859;28775453;59509957;28666886;574710648
351511437,myricau,1369599234,pour,494129264;75584215;17420789
105895223,Karmappa,1369599231,pour,380841357;49728863
492979054,luciepaule2275,1369599230,contre,493016406;1357804986;494037039;476098647;999587480;524312432;570962113;758032711;554485198;391539340;610906968;137370532;555554262;592823197
841455985,sebastienglasso,1369599229,neutre,554485198;449285966;581070678;279872903;449256217;1378388058;130626642;137370532;377915090
19148041,tigerymous,1369599227,pour,485915695;554843376;309024736;264192701;187260157;376107351;507459476;63832723;30979415
209999168,SSIAP4,1369599227,contre,567891799;1273690998;1032587216;915287179;377915090;764478506;233832476;494120149;477778623;288991803;279872903
37643770,Bitchy_Boys,1369599224,pour,120007623;1283884723;572136929;1145995544;1127243618;117455135;210370180;278223385;946392384;59509957
377915090,aourell29,1369599220,contre,197535822;493031776;554843376;477778623;449285966;233832476;266653766;508752598;96237379;36191393;1068828068;1273690998;841455985;915287179;449256217;758032711;567891799;129948456;209999168;554485198;137370532;83206603;485917030;288991803;279872903
