user_id,followers_list
215058742,937738092
12244992,287333441;187961124;68654204;86337508;46386171;31077839
366570919,1378217570;1120655828;1292276934;103506356;69335115;93690629;946392384;915287179;1145995544;118122782;28666886;278063562;48131824
493016406,833728339;972532633;1241575062;597586397;444039081;1368863274;758032711;1378388058;605752623;525733281;248240133;868159393;1173289080;494037039;329794347;720304159;1130159095;532335718;560894263;1033306567;621819206;106686430;915287179;33908285;582116966;215972662;93380599;526834453;197063362;312888560;763178671;738508316;510700548;276112778;634420834;524312432;572635634;19064287;776797585;746000443;459880868;51130368;96138456;610906968;616985320;588968222;581070678;137370532;553401650;302906057;476098647;114775729;514288085;455692100;494378249;300395254;169055522;508752598;391539340;83206603
44578635,574604672;46386171;472528787;1145995544;609416896;46775077;378070152;40301992;384576997;613664290;474316779;303864268;86337508;48131824;191008573;278063562;33179844;53798973;46446811;56396019;236297113;125207364;91534334;18969131;17871187;29219266;5661312;54537104
937738092,452097865;1027248156;215058742;43301934;301853897;554485198;971862548
610906968,494378249;1368863274;444039081;605752623;597586397;248240133;120609202;1378388058;561253885;1173289080;492258012;19064287;971862548;574604672;17400044;49968109;499297785;380876523;1033306567;582116966;581070678;17679623;340556130;361995292;494037039;329794347;525733281;776797585;252552050;637259252;524312432;391539340;310304924;568534007;621819206;494772708;1068828068;915287179;276112778;312888560;493016406;137370532;628126313;392165052;93380599;215972662;763178671;169055522;738508316;455692100;554485198;827430223;90894097;494120149;476098647;192704753;746000443;634420834;508752598;514288085;300395254;302906057;129948456;96138456;485917030;588968222;197063362;51130368;459880868;616985320;560894263;553401650;114775729;36191393
351511437,726156542;552753487;305447437;46775077;75584215;17420789
209999168,494378249;480494661;483062997;972532633;915287179;1241575062;177633279;377915090;233832476;613664290;597586397;575652388;494120149;477778623;288991803;279872903
524312432,972532633;329794347;1033306567;17679623;276112778;833728339;597586397;256988281;758032711;494037039;720304159;492258012;1368863274;605752623;971862548;621819206;19064287;1173289080;572635634;525733281;197063362;610906968;391539340;93380599;554485198;568534007;588968222;169055522;553401650;915287179;514288085;300395254;114775729;628126313;215972662;581070678;312888560;738508316;455692100;763178671;476098647;129948456;96138456;361995292;776797585;634420834;302906057;616985320;493016406;137370532
1292276934,263036313;63832723;114675553;956904288;381184790;154243977;601002151;30709938;478657425;573077367;1003304646;992159581;28666886;1389542826;301853897;464806206;47769769;574710648;43607022;478409321;1064244859;1378217570;563629676;84204116;1027248156;433486563;572589327;595866006;114082221;125207364;43301934;452097865;50797195;299760936;434837450;1057032414;1061129772;36182000
478657425,1292276934;1378217570;1064244859;452097865;827131363;15353074;427277574;235910137;946392384;552753487;308721132;606641767;305447437;222277722;499699049;464806206;595866006;607722763;263036313;36182000;380841357;82199471;434837450;562422413;451035305;381184790;154243977;84204116;458806722;494120149;458091457;474316779;478409321;87377688
85898326,63832723;5610642
121861836,299190831;609416896;478409321;24898882;263036313;249091144
464502436,232452699;177166975;572589327;103506356;992159581;19379616;607722763;455019965;1292276934;120609202;573077367;1145995544;36735292;547957320;827131363;574710648;93690629;312307608;946392384;59509957;523264165;552753487;276901578;601002151;154243977;613664290;192704753;376786245;40639652;19064287;28775453;595866006;113861790;36182000;472528787;464806206;30979415;82199471;91534334;116063765;17567021;17682385
554581413,427277574;557464571;114675553;1389542826;572589327;1164176504;313264829;114082221;1004758482;103506356;1061129772;36182000;1057032414;1120655828;312307608;726156542;992159581;946392384;563629676;601002151;384576997;523264165
59509957,554843376;276901578;82199471;1378217570;89507852;992159581;1057032414;301853897;946392384;201823117;154243977;574710648;53336284;36182000;84204116
250795515,1164176504;480535865
636477992,103506356;956904288
1187474786,480535865;36182000;574604672;30979415;114675553;557464571;572098981;1292276934;17871187;1064244859;376107351;464806206;31077839;89507852;103261536;232452699;303154397;46775077;299190831;574710648;21302947;49728863;1378217570;81814591;451035305;193045025;30709938;455019965;572589327;82199471;235910137;1057032414;17567021;167495274;434837450;59509957;458091457;366570919;458806722;269399115;462258095;313264829;36735292;607722763;726156542;427277574;45515193;359422134;201823117;63832723;956904288;1120655828;103506356;1164176504;378070152;299760936;106168111;1061129772;351511437;37642453;206125363;1027248156;364525196;1145995544;177166975;48131824;47336512;276901578;573077367;283549035;345938366;549486770;552753487;547957320;142598572;606641767;79221731;50797195
507459476,114675553;57908699;47336512;36191393;1120655828;1187474786;1064244859;48131824;607722763;154243977;46089281;49728863;33179844;427277574;485505777;81814591;106168111;47706812;19062473;247316348;226889077
288991803,1241575062;256988281;574604672;93380599;494037039;1068828068;915287179;494378249;248376917;1033306567;711295860;758032711;720304159;972532633;483062997;552619385;634420834;276112778;96138456;36191393;459880868;597586397;101202244;480494661;129948456;177633279;560894263;485917030;279872903;377915090;312888560;300395254;382217890;209999168;402223330;477778623;233832476
580843991,235910137;19379616;1378217570;391539340;462258095;1033306567;552753487;45515193;343030340;1120655828;1292276934;376107351;573077367;452097865;308721132;485917030;1064244859;1061129772;359422134;50797195;575652388;206125363;253312786;192704753;458091457;89507852;1003304646;478657425;856070256;163549137;137370532
40301992,554843376;22416221;462258095;605752623;562422413;346426848;83412210;278063562;89507852;232452699;46775077;18125180;191008573;235910137;197063362;340775394
129948456,494772708;605752623;568534007;613664290;1163967229;972532633;300395254;256988281;492258012;1368863274;89507852;171626374;1241575062;120609202;1068828068;494037039;868159393;1173289080;329794347;391539340;758032711;114775729;380876523;96138456;915287179;494378249;574604672;1033306567;377915090;455692100;720304159;480494661;524312432;382217890;163549137;637259252;36191393;746000443;514288085;597586397;711295860;554485198;634420834;137370532;312888560;588968222;610906968;288991803;616985320;302906057;581070678;485917030;526834453;279872903;494120149
471659724,434462618
526834453,568534007;868159393;581070678;494378249;458091457;96138456;493016406;248240133;634420834;455692100;510700548;114775729;616985320;476098647;514288085;554485198;746000443;459880868;588968222;83206603;560894263;302906057;129948456;312888560;494120149
106686430,1033306567;554843376;302906057;14465685;83412210;169055522;494120149;459880868
391539340,1378388058;329794347;1370329748;256988281;972532633;459219198;361995292;1157073098;1368863274;137370532;637259252;519045138;17400044;312888560;971862548;605752623;581070678;1057032414;79221731;554843376;93380599;494037039;525733281;177633279;129948456;114775729;1068828068;499297785;594522343;1088478440;52686210;33908285;915287179;89507852;868159393;278223385;574604672;628126313;1033306567;758032711;36182000;276901578;194045521
36735292,572589327;235910137;1145995544;19379616;253312786;464502436;726156542;312307608;364525196;257609533;82313419;37642453;113861790;482792339;276901578;263036313;283549035;81814591;47336512;69335115;17871187
477778623,1033306567;256988281;972532633;1068828068;177633279;554485198;720304159;312888560;597586397;288991803;300395254;192704753;209999168;49728863;459880868
